q1_rad,q2_rad,q3_rad,left_tilt_servo_deg,right_lift_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.3018682992,0.881661565,0.6108652382,55.40844097,23.56058576,70,1,1,safe,
-0.3018682992,0.881661565,0.6981317008,55.40844097,23.56058576,80,1,1,safe,
-0.3018682992,0.881661565,0.7853981634,55.40844097,23.56058576,90,1,1,safe,
-0.3018682992,0.881661565,0.872664626,55.40844097,23.56058576,100,1,1,safe,
-0.3018682992,0.881661565,0.9599310886,55.40844097,23.56058576,110,1,1,safe,
-0.3018682992,0.881661565,1.047197551,55.40844097,23.56058576,120,1,1,safe,
-0.3018682992,0.881661565,1.134464014,55.40844097,23.56058576,130,1,1,safe,
-0.3018682992,0.881661565,1.221730476,55.40844097,23.56058576,140,1,1,safe,
-0.3018682992,0.881661565,1.308996939,55.40844097,23.56058576,150,1,1,safe,
-0.3018682992,0.881661565,1.396263402,55.40844097,23.56058576,160,1,1,safe,
-0.3018682992,0.881661565,1.483529864,55.40844097,23.56058576,170,1,1,safe,
-0.3018682992,0.9689280276,0,55.40844097,13.56058576,0,1,1,safe,
-0.3018682992,0.9689280276,0.0872664626,55.40844097,13.56058576,10,1,1,safe,
-0.3018682992,0.9689280276,0.1745329252,55.40844097,13.56058576,20,1,1,safe,
-0.3018682992,0.9689280276,0.2617993878,55.40844097,13.56058576,30,1,1,safe,
-0.3018682992,0.9689280276,0.3490658504,55.40844097,13.56058576,40,1,1,safe,
-0.3018682992,0.9689280276,0.436332313,55.40844097,13.56058576,50,1,1,safe,
-0.3018682992,0.9689280276,0.5235987756,55.40844097,13.56058576,60,1,1,safe,
-0.3018682992,0.9689280276,0.6108652382,55.40844097,13.56058576,70,1,1,safe,
-0.3018682992,0.9689280276,0.6981317008,55.40844097,13.56058576,80,1,1,safe,
-0.3018682992,0.9689280276,0.7853981634,55.40844097,13.56058576,90,1,1,safe,
-0.3018682992,1.05619449,0,55.40844097,3.560585759,0,1,1,safe,
-0.2146018366,-0.5146018366,0,65.40844097,173.5605858,0,1,1,safe,
-0.2146018366,-0.5146018366,0.0872664626,65.40844097,173.5605858,10,1,1,safe,
-0.2146018366,-0.5146018366,0.1745329252,65.40844097,173.5605858,20,1,1,safe,
-0.2146018366,-0.5146018366,0.2617993878,65.40844097,173.5605858,30,1,1,safe,
-0.2146018366,-0.5146018366,0.3490658504,65.40844097,173.5605858,40,1,1,safe,
-0.2146018366,-0.5146018366,0.436332313,65.40844097,173.5605858,50,1,1,safe,
